"","spcode","spcode_4_3","accepted_species","dispersal_syndrome_modified","pollination_syndrome_modified","sexual_system_modified","mean_wd","seedlength_mm","seedlength_cat","n_mgg_1","p_mgg_1","n_p_ratio"
"84","ingase","ingaser","Inga sertulifera","dani","pvar","ssher",0.65,NA,"30_to_50mm",25.5,1,25.5
"85","ingath","ingathi","Inga thibaudiana","dani","pbir","ssher",0.577087345679012,9.9,"15_to_30mm",27.4,0.84,32.6190476190476
"86","iriade","iriadel","Iriartea deltoidea","dani","pins","ssmon",0.267,NA,"30_to_50mm",20.36,1.25,16.288
"87","jacaco","jacacop","Jacaranda copaia","dwin","pins","ssher",0.350666666666667,NA,"15_to_30mm",24.14,0.96,25.1458333333333
"88","jactco","jacacos","Jacaratia spinosa","dani","pins","ssdio",0.265,NA,NA,39.15,2.3,17.0217391304348
"89","lacmpa","lacmpan","Lacmellea panamensis","dani","pins","ssher",0.4715,NA,"30_to_50mm",22.5,1,22.5
"90","lacupa","lacupan","Lacunaria panamensis","dani","pins","ssdio",0.80325,NA,"15_to_30mm",19.7,1,19.7
"91","laetpr","laetpro","Laetia procera","dani","pins","ssher",0.6481,NA,"1_to_6mm",29.18,1.25,23.344
"92","lecoam","lecoama","Lecointea amazonica","dani","pins","ssher",0.893333333333333,NA,NA,27.2,1.2,22.6666666666667
"93","lecyam","lecyamp","Lecythis ampla","dvar","pins","ssher",0.75,NA,">100mm",25.75,1.26,20.4365079365079
"94","licnaf","licaaff","Licania affinis","dvar","pins","ssher",0.824558666666667,NA,NA,17.3,0.6,28.8333333333333
"95","licnhy","licahyp","Licania hypoleuca","dani","pins","ssher",0.9088,6.3,"15_to_30mm",22.2,0.7,31.7142857142857
"96","licnka","licakal","Moquilea kallunkiae","dvar","pins","ssher",0.60142650396498,NA,NA,14.2,0.5,28.4
"97","licnsa","licaspa","Leptobalanus sparsipilis","dvar","pins","ssher",0.60142650396498,NA,NA,17.9,0.6,29.8333333333333
"98","loncfe","loncfer","Lonchocarpus ferrugineus","dwin","pins",NA,0.703284722222222,NA,"6_to_15mm",33.6,1.4,24
